ENSGID,Condition_A
ENSG00000127720,0.717696075
ENSG00000075142,0.717644243
ENSG00000158764,0.717409764
ENSG00000125378,0.717085172
ENSG00000119705,0.715738598
ENSG00000159720,0.715662554
ENSG00000121900,0.715265729
ENSG00000137078,0.714569574
ENSG00000101825,0.713861025
ENSG00000137434,0.713739737
ENSG00000237550,0.71336535
ENSG00000180581,0.71311527
ENSG00000105258,0.713097967
ENSG00000123144,0.71218257
ENSG00000116157,0.711536297
ENSG00000178031,0.711415461
ENSG00000172572,0.710605247
ENSG00000158373,0.710256839
ENSG00000099795,0.708212363
ENSG00000133597,0.708133413
ENSG00000196656,0.708059184
ENSG00000187094,0.70800256
ENSG00000006606,0.707537347
ENSG00000101210,0.707323877
ENSG00000196502,0.707314127
ENSG00000105971,0.707199334
ENSG00000119421,0.706051143
ENSG00000132507,0.705590607
ENSG00000168275,0.705480832
ENSG00000258738,0.705094194
ENSG00000115318,0.704913326
ENSG00000104321,0.704800325
ENSG00000083845,0.704154359
ENSG00000173673,0.703161302
ENSG00000084207,0.702537126
ENSG00000125968,0.702486448
ENSG00000111254,0.70247545
ENSG00000106803,0.701609911
ENSG00000142541,0.701532742
ENSG00000277791,0.700806971
ENSG00000115350,0.700740762
ENSG00000104327,0.700001976
ENSG00000116161,0.699772654
ENSG00000226508,0.699594319
ENSG00000198843,0.699058349
ENSG00000135940,0.698749372
ENSG00000198846,0.69829984
ENSG00000197050,0.697169292
ENSG00000161405,0.697081522
ENSG00000143106,0.697081408
ENSG00000135070,0.697078147
ENSG00000119242,0.69599292
ENSG00000204390,0.695965862
ENSG00000141179,0.695780207
ENSG00000171314,0.695421886
ENSG00000132031,0.694528008
ENSG00000103274,0.694504911
ENSG00000109971,0.694495783
ENSG00000005059,0.694066172
ENSG00000271849,0.693852175
ENSG00000100216,0.693607172
ENSG00000110442,0.693555629
ENSG00000146066,0.693261292
ENSG00000188985,0.692750273
ENSG00000130312,0.692611228
ENSG00000170889,0.692573823
ENSG00000126088,0.692332801
ENSG00000163634,0.692251756
ENSG00000166033,0.691785063
ENSG00000215030,0.691749713
ENSG00000122254,0.691621984
ENSG00000136463,0.691569901
ENSG00000102144,0.689278774
ENSG00000154553,0.689165039
ENSG00000061918,0.689110174
ENSG00000168894,0.68897977
ENSG00000174917,0.688825464
ENSG00000177600,0.688522775
ENSG00000137818,0.687304025
ENSG00000255302,0.687248016
ENSG00000133636,0.686676929
ENSG00000204628,0.68666009
ENSG00000105427,0.685590577
ENSG00000159182,0.685162813
ENSG00000184979,0.685071652
ENSG00000008018,0.68504898
ENSG00000111669,0.684507196
ENSG00000187513,0.684278651
ENSG00000120885,0.684233578
ENSG00000074219,0.684166051
ENSG00000132002,0.682942375
ENSG00000151572,0.682843531
ENSG00000102466,0.682019037
ENSG00000115758,0.681901542
ENSG00000164318,0.681855284
ENSG00000184515,0.681730956
ENSG00000163682,0.680491679
ENSG00000147400,0.680259503
ENSG00000178741,0.679769434
ENSG00000279968,0.679405328
ENSG00000172458,0.679343787
ENSG00000104823,0.67878349
ENSG00000116898,0.678597898
ENSG00000086061,0.678577195
ENSG00000138663,0.67810872
ENSG00000182899,0.678018323
ENSG00000176473,0.676830322
ENSG00000179091,0.676626993
